show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s1656,Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Greg Rankin, TJ Sullivan",United States,11/24/2020,2020,TV-Y,46 min,"Children & Family Movies, Comedies"
s1657,Movie,Hillbilly Elegy,Ron Howard,United States,11/24/2020,2020,R,117 min,Dramas
s1660,Movie,Hard Kill,Matt Eskandari,United States,11/23/2020,2020,R,98 min,Action & Adventure
s1661,Movie,Shawn Mendes: In Wonder,Grant Singer,United States,11/23/2020,2020,TV-MA,83 min,"Documentaries, Music & Musicals"
s1663,Movie,The Suit,Mohammad Adel,Egypt,11/23/2020,2018,TV-14,97 min,"Action & Adventure, Comedies, International Movies"
s1664,Movie,Dolly Parton’s Christmas on the Square,Debbie Allen,United States,11/22/2020,2020,TV-PG,99 min,"Children & Family Movies, Music & Musicals"
s1665,Movie,Machete Kills,Robert Rodriguez,United States,11/22/2020,2013,R,108 min,Action & Adventure
s1666,Movie,40 Sticks,Victor Gatonye,Kenya,11/20/2020,2019,TV-14,93 min,"International Movies, Thrillers"
s1667,Movie,Alien Xmas,Stephen Chiodo,United States,11/20/2020,2020,TV-Y,42 min,Children & Family Movies
s1670,Movie,If Anything Happens I Love You,"Will McCormack, Michael Govier",United States,11/20/2020,2020,PG,13 min,Dramas
s1672,Movie,The App That Stole Christmas,Monica Floyd,United States,11/20/2020,2020,TV-PG,64 min,"Children & Family Movies, Comedies"
s1674,Movie,Black Friday,Anurag Kashyap,India,11/19/2020,2004,TV-MA,162 min,"Dramas, International Movies"
s1675,Movie,Bodyguard,Siddique,India,11/19/2020,2011,TV-14,130 min,"Action & Adventure, Comedies, International Movies"
s1676,Movie,Break Ke Baad,Danish Aslam,India,11/19/2020,2010,TV-14,108 min,"Comedies, International Movies, Music & Musicals"
s1677,Movie,Hawaizaada,Vibhu Virender Puri,India,11/19/2020,2015,TV-14,129 min,"Dramas, International Movies, Romantic Movies"
s1678,Movie,My Amnesia Girl,Cathy Garcia-Molina,Philippines,11/19/2020,2010,TV-14,105 min,"International Movies, Romantic Movies"
s1679,Movie,Raman Raghav 2.0,Anurag Kashyap,India,11/19/2020,2016,TV-MA,133 min,"International Movies, Thrillers"
s1680,Movie,Singham,Rohit Shetty,India,11/19/2020,2011,TV-14,142 min,"Action & Adventure, Dramas, International Movies"
s1681,Movie,TE3N,Ribhu Dasgupta,India,11/19/2020,2016,TV-14,128 min,"Dramas, International Movies, Thrillers"
s1682,Movie,The Princess Switch: Switched Again,Mike Rohl,United States,11/19/2020,2020,TV-G,97 min,"Children & Family Movies, Comedies, Dramas"
s1683,Movie,Three Words to Forever,Cathy Garcia-Molina,Philippines,11/19/2020,2018,TV-G,107 min,"Comedies, Dramas, International Movies"
s1684,Movie,Well Done Abba,Shyam Benegal,India,11/19/2020,2009,TV-14,135 min,"Comedies, International Movies"
s1686,Movie,Ainu Mosir,Takeshi Fukunaga,United States,11/17/2020,2020,TV-PG,84 min,"Dramas, International Movies"
s1687,Movie,Kevin Hart: Zero F**ks Given,Leslie Small,United States,11/17/2020,2020,TV-MA,70 min,Stand-Up Comedy
s1690,Movie,Loving,Jeff Nichols,United Kingdom,11/16/2020,2016,PG-13,124 min,"Dramas, Romantic Movies"
s1691,Movie,Whose Streets?,"Sabaah Folayan, Damon Davis",United States,11/16/2020,2017,R,102 min,Documentaries
s1692,Movie,A Very Country Christmas,Justin G. Dyck,United States,11/15/2020,2017,TV-G,84 min,"Music & Musicals, Romantic Movies"
s1695,Movie,Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn",United States,11/15/2020,2013,PG,95 min,"Children & Family Movies, Comedies"
s1696,Movie,Hometown Holiday,Justin G. Dyck,Canada,11/15/2020,2018,TV-G,84 min,Romantic Movies
s1716,TV Show,A Queen Is Born,Carla Barros,Brazil,11/11/2020,2020,TV-14,1 Season,"International TV Shows, Reality TV"
s1700,Movie,White Christmas,Michael Curtiz,United States,11/15/2020,1954,TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies"
s1701,Movie,Killer Cove,Damián Romay,United States,11/14/2020,2019,TV-14,87 min,Thrillers
s1703,Movie,Fukrey Boyzzz: Space Mein Fukrapanti,Avinash Walzade,India,11/13/2020,2020,TV-Y7,75 min,"Children & Family Movies, Comedies"
s1704,Movie,Jingle Jangle: A Christmas Journey,David E. Talbert,United States,11/13/2020,2020,PG,124 min,"Children & Family Movies, Music & Musicals"
s1705,Movie,The Beginning of Life 2: Outside,Renata Terra,Brazil,11/13/2020,2020,TV-PG,92 min,"Documentaries, International Movies"
s1706,Movie,The Life Ahead,Edoardo Ponti,Italy,11/13/2020,2020,PG-13,95 min,"Dramas, International Movies"
s1707,TV Show,The Minions of Midas,Mateo Gil,Spain,11/13/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s1708,Movie,A Very Special Love,Cathy Garcia-Molina,Philippines,11/12/2020,2008,TV-G,107 min,"International Movies, Romantic Movies"
s1710,Movie,First Love,Paul Soriano,Philippines,11/12/2020,2018,TV-MA,123 min,"Dramas, International Movies, Romantic Movies"
s1711,Movie,Fruitvale Station,Ryan Coogler,United States,11/12/2020,2013,R,85 min,"Dramas, Independent Movies"
s1713,Movie,Ludo,Anurag Basu,India,11/12/2020,2020,TV-MA,150 min,"Comedies, Dramas, International Movies"
s1714,Movie,Memories of a Teenager,Lucas Santa Ana,Argentina,11/12/2020,2019,TV-MA,97 min,"Dramas, International Movies, LGBTQ Movies"
s1715,Movie,Prom Night,Nelson McCormick,United States,11/12/2020,2008,PG-13,88 min,Horror Movies
s1721,Movie,What We Wanted,Ulrike Kofler,Austria,11/11/2020,2020,TV-MA,93 min,"Dramas, International Movies"
s1722,TV Show,A Lion in the House,"Steven Bognar, Julia Reichert",United States,11/10/2020,2006,TV-14,1 Season,TV Shows
s1726,Movie,Citation,Kunle Afolayan,Nigeria,11/6/2020,2020,TV-MA,151 min,"Dramas, International Movies"
s1728,Movie,Girl's Revenge,Weica Wang,Taiwan,11/6/2020,2020,TV-MA,82 min,"Dramas, International Movies"
s1729,Movie,The Endless Trench,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga",Spain,11/6/2020,2019,TV-MA,148 min,"Dramas, Independent Movies, International Movies"
s1730,Movie,The Late Bloomer,Kevin Pollak,United States,11/6/2020,2016,R,95 min,Comedies
